"phylotree_tip_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"Omphiscola_reticulata_ott2879192",-0.0648207044430018,0.00726684045895952,0.00117238133651604,6.09753066836896e-05,0.00076647237585391,-0.00051865499104611,-0.000245063334608329,8.95402226675338e-05,0.00016178692878777,-3.27792034814292e-05,-0.042429336413761,-0.0935816185587532
"Diodora_aspera_ott335847",-0.0643374191655786,0.00711602883617257,0.00113132565791731,5.74967718260149e-05,0.000703935237893695,-0.000429618978916916,-0.000183593215722575,5.36448280154262e-05,9.39918810319798e-05,-1.45158214319708e-05,-0.018200558934904,-0.030748410669489
"Gibbula_cineraria_ott83913",-0.0643383233436492,0.0071163061331252,0.00113139973948538,5.75028662688813e-05,0.000704041199852147,-0.000429751593611907,-0.000183674202590932,5.36811206280401e-05,9.40580237940711e-05,-1.45289122703055e-05,-0.0182173202670795,-0.0307808471243813
"Phorcus_lineatus_ott1016187",-0.0643383233436492,0.0071163061331252,0.00113139973948538,5.7502866268888e-05,0.000704041199852164,-0.00042975159361197,-0.00018367420259083,5.3681120627904e-05,9.40580237941809e-05,-1.45289122702071e-05,-0.0182173202670796,-0.0307808471243812
"Haliotis_cracherodii_ott260344",-0.0643402372095754,0.00711689313077254,0.0011315565724383,5.75157700208097e-05,0.000704265584043159,-0.000430032555909824,-0.000183845855172304,5.37580997233379e-05,9.41983289738785e-05,-1.45566983476514e-05,-0.0182528993036862,-0.0308497283033255
"Haliotis_rubra_ott695282",-0.0643402372095754,0.00711689313077254,0.0011315565724383,5.75157700207898e-05,0.000704265584043149,-0.000430032555909835,-0.000183845855172274,5.37580997233975e-05,9.41983289738944e-05,-1.45566983477233e-05,-0.0182528993036863,-0.0308497283033257
"Haliotis_laevigata_ott780536",-0.0643402372095754,0.00711689313077252,0.0011315565724383,5.75157700207912e-05,0.000704265584043154,-0.000430032555909842,-0.000183845855172169,5.37580997233843e-05,9.41983289738193e-05,-1.45566983475726e-05,-0.0182528993036864,-0.0308497283033255
"Haliotis_rufescens_ott820667",-0.0643402372095754,0.00711689313077253,0.0011315565724383,5.7515770020778e-05,0.000704265584043135,-0.000430032555909926,-0.000183845855172257,5.37580997235217e-05,9.41983289739306e-05,-1.45566983474574e-05,-0.0182528993036866,-0.0308497283033255
"Lottia_scabra_ott840646",-0.0643425968938567,0.00711761698076992,0.00113175000244945,5.75316890332713e-05,0.000704542480401804,-0.00043037962562553,-0.000184058077379662,5.38534176909513e-05,9.4372089879305e-05,-1.45911541972578e-05,-0.0182970241945505,-0.0309352285285632
"Lottia_gigantea_ott840650",-0.0643425968938567,0.00711761698076992,0.00113175000244946,5.75316890332614e-05,0.000704542480401816,-0.000430379625625479,-0.000184058077379719,5.38534176908667e-05,9.43720898793338e-05,-1.45911541972051e-05,-0.0182970241945506,-0.0309352285285632
